INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\email\mime\multipart.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\http\response.py first seen with mtime 1730590523.4500463
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\DLLs\_uuid.pyd first seen with mtime 1712054600.0
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\pkgutil.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\queue.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\DLLs\_lzma.pyd first seen with mtime 1712054600.0
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1730590521.9895227
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\logging\handlers.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1730590523.5064423
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\asyncio\staggered.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1730590523.4576895
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1730590523.308741
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\accounts\choices.py first seen with mtime 1732954613.9991214
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1730590522.67241
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1730590521.05629
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1731422612.9813297
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\weakref.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\accounts\forms.py first seen with mtime 1732781579.8902233
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\PIL\_typing.py first seen with mtime 1730742962.0971422
DEBUG 2024-12-01 16:19:42,665 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1730590521.3237517
